sample-id	Locality	Host species	SVL	Weight	Elevation	Temperature	pH	Bio_1	Bio_9	Bio_10	Bio_11	Bio_12	Bio_13	Bio_14	Bio_15	Bio_16	Bio_17	Bio_18	Bio_19	Bio_2	Bio_3	Bio_4	Bio_5	Bio_6	Bio_7	Bio_8	Pp	Tmin	Tmax	DO
M-X2M03	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	7	17	2237	19.44666667	8.693333333	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	100.6666667
M-X2M04	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	7.5	20	2237	19.44666667	8.693333333	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	100.6666667
M-X2M05	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	7.2	22	2237	19.44666667	8.693333333	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	100.6666667
M-X2M06	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	7.5	22	2237	19.44666667	8.693333333	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	100.6666667
M-X2M07	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	8	27	2237	19.44666667	8.693333333	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	100.6666667
M-X3M01	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	9	49	2237	19.56666667	9.92	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	117.2333333
M-X3M02	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	10.5	91	2237	19.56666667	9.92	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	117.2333333
M-X3M03	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	11	101	2237	19.56666667	9.92	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	117.2333333
M-X3M04	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	11	86	2237	19.56666667	9.92	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	117.2333333
M-X3M05	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	11.5	90	2237	19.56666667	9.92	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	117.2333333
M-X3M06	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	11.5	96	2237	19.56666667	9.92	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	117.2333333
M-X3M07	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	9.5	43	2237	19.56666667	9.92	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	117.2333333
M-X3M08	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	8.5	36	2237	19.56666667	9.92	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	117.2333333
M-X4M01	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	13	144	2237	19.06	8	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	65.6
M-X4M02	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	13	159	2237	19.06	8	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	65.6
M-X4M03	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	14	169	2237	19.06	8	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	65.6
M-X4M04	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	12	140	2237	19.06	8	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	65.6
M-X4M05	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	14	143	2237	19.06	8	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	65.6
